@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute yawing numeric
@attribute pitching numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
57,'2021/03/11 15:15:35:870',4,-0.046421,0.022335,-0.003401,0.027996,0.013766,0.568299,0.015988,-0.047688,3.07117,?,?,?,?,?
58,'2021/03/11 15:15:35:905',4,-0.017348,0.009059,-0.007125,0.012401,-0.008962,0.329663,0.015911,-0.04806,3.087663,?,?,?,?,?
59,'2021/03/11 15:15:35:944',4,-0.014182,0.014121,-0.006924,0.003073,-0.017257,0.146084,0.015831,-0.048343,3.095021,?,?,?,?,?
60,'2021/03/11 15:15:35:975',4,-0.015682,0.037716,-0.005048,0.001516,-0.003254,0.000182,0.015729,-0.048705,3.096972,?,?,?,?,?
61,'2021/03/11 15:15:36:015',4,-0.000975,-0.000892,-0.004472,0.005024,0.023709,0.000526,0.015573,-0.048519,3.097001,?,?,?,?,?
62,'2021/03/11 15:15:36:048',4,0.036702,-0.0317,-0.009883,0.009393,0.012544,0.120538,0.015236,-0.048507,3.100305,?,?,?,?,?
63,'2021/03/11 15:15:36:087',4,-0.002958,-0.000173,-0.003951,0.005965,0.007316,0.027673,0.014888,-0.048381,3.101661,?,?,?,?,?
64,'2021/03/11 15:15:36:124',4,0.086526,-0.083047,-0.011577,0.03925,-0.009477,0.835466,0.015342,-0.048174,3.118547,?,?,?,?,?
65,'2021/03/11 15:15:36:155',4,-0.082947,0.041709,-0.001411,0.000672,-0.009115,0.097805,0.014778,-0.049831,3.139271,?,?,?,?,?
66,'2021/03/11 15:15:36:194',4,-0.000774,-0.000222,-0.008137,-0.007842,-0.032413,-0.00519,0.014656,-0.0504,3.139457,?,?,?,?,?
67,'2021/03/11 15:15:36:228',4,-0.00081,0.001366,-0.007255,-0.007676,-0.031027,-0.016779,0.015297,-0.050578,3.139015,?,?,?,?,?
68,'2021/03/11 15:15:36:263',4,-0.005639,0.011468,-0.006302,-0.001959,0.002269,-0.088652,0.013834,-0.053214,3.137846,?,?,?,?,?
69,'2021/03/11 15:15:36:298',4,-0.065428,0.079972,0.000107,-0.03424,0.010666,-0.758371,0.013947,-0.052598,3.123888,?,?,?,?,?
70,'2021/03/11 15:15:36:337',4,-0.053031,0.035764,-0.002357,-0.056724,0.011669,-1.208257,0.014082,-0.051825,3.088637,?,?,?,?,?
